ad_id,headline_1,headline_2,description_1,description_2,description_3,simulated_ctr,simulated_cpc,simulated_cpa
a3c7ec2a1c7d46ec82a41407e30387c0,Top Gym in Munich!,Get Fit in Munich!,"Modern equipment, expert trainers. Join today!",Affordable fitness.  Free trial available!,Achieve your fitness goals with us!,1.92,1.73,78.0
4d12593ef7864972a6f775691bac3de4,Get Fit This Semester!,Student Gym Deals!,Affordable gym memberships for students in NYC.  State-of-the-art equipment & classes!,Student discounts & flexible plans.  Join the fitness revolution today!,"NYC's best student gym!  Free weights, cardio, & more. Sign up now!",4.29,0.33,10.0
d3926e703bec4931bd65612ca8ccc3bb,"Get Fit, LA!",Your LA Fitness Journey Starts Here,Affordable gym memberships.  Top equipment. Convenient locations.,Shape your future.  Join our LA community today!,"Free weights, cardio, and classes. Start your workout now!",2.83,1.31,85.0
eb6f474c4be444baaba922622cb15572,Get Fit in Tokyo!,Your Tokyo Fitness Journey Starts Here,"Modern gym, top equipment, personal trainers. Free trial!",Achieve your fitness goals with our expert-led classes and programs.,"Convenient location, flexible membership options. Join today!",4.29,0.33,10.0
c22fbba091cf4c05936d964abf6c663a,Fitter in Munich!,Your Gym Awaits!,Modern gym. Best equipment.  Join today!,Affordable fitness. Get in shape now!,Personal training available.  Start your journey!,1.91,1.67,75.0
7f0fae306110443e918444b552737f9a,Top Gym in Berlin!,Get Fit in Berlin,"State-of-the-art equipment, expert trainers. Free trial!",Achieve your fitness goals. Join today!,"Personal training, group classes, & more. Sign up now!",4.29,0.33,10.0
5ac241067f0a4288aa2c663df7f5cf4f,Get Fit in Rome!,Your Fitness Journey Starts Here,"Modern gym, top equipment, personal trainers. Sign up today!",Achieve your fitness goals with our expert guidance. Free trial!,Affordable gym membership in Rome. Get in shape now!,1.92,1.67,75.0
85ed92323add451c9369dcefe74c6a8c,Get Fit in NYC!,Your Fitness Journey Starts Here,State-of-the-art gym. Personal trainers. Free weights. Group classes. Join today!,Achieve your fitness goals with our expert trainers and supportive community.,Transform your body and mind. Free trial available. Sign up now!,5.0,0.3,10.0
71df961d1394466ab8d6ca12a5bb7c19,Get Fit in Downtown Toronto,Your Fitness Journey Starts Here,"Modern gym, expert trainers, free weights, classes.  Sign up today!",Achieve your fitness goals with our state-of-the-art equipment.,Affordable memberships for young professionals.  Limited-time offer!,4.29,0.33,10.0
7d65b13063a740c684b677ff905318ec,"Get Fit, LA!",Your LA Fitness Journey Starts Here,"Modern gym, top equipment, personal training. Join today!","Affordable rates, convenient location.  Transform your body!",Free trial available!  Achieve your fitness goals with us.,5.0,0.3,10.0
e44bb97a835e4d658271bf38cb187abd,Student Gym Deals!,Affordable Fitness for Students,Get in shape this semester! Low monthly fees for students in London.,Student discounts on gym memberships. Top-notch equipment & classes.,Find your fitness routine. Best student gym in London. Join now!,2.66,1.18,50.0
f172d0726e744fd6b25030872bf0d274,"Get Fit, Sydney!",Your Fitness Journey Starts Here,Affordable gym memberships for young professionals in Sydney. Try us!,Modern gym equipment & classes. Achieve your fitness goals today!,Convenient locations across Sydney CBD. Sign up now for a free trial!,3.71,1.09,95.0
20d4228f311e45509ebb3fc60c0c4605,Get Fit in London!,Your Fitness Journey Starts Here,State-of-the-art gym. Personal trainers. Free weights. Join today!,Affordable gym memberships. Excellent equipment. Transform your body.,"London's best gym! Classes, personal training, and more. Sign up now!",5.0,0.3,10.0
e663df408e3b42ccb51de058c314b095,Get Fit in LA!,Your Fitness Journey Starts Here,Affordable gym memberships for young professionals. Join today!,State-of-the-art equipment & expert trainers. Free trial available!,Transform your body & mind.  Convenient location in Downtown LA.,1.91,1.67,75.0
e3313a390a10437685eee802151b8da3,Get in Shape in Paris!,Fitness Goals? We Can Help!,"Modern gym, top equipment, personal training. Join today!",Affordable fitness for all levels. Free trial available!,Achieve your fitness goals with our expert trainers.,2.39,1.55,87.0
c0fecb98b7af4b7188b2ed903e4b696f,Top Gym in Berlin!,Get Fit in Berlin!,"State-of-the-art equipment, expert trainers. Join today!",Affordable fitness memberships. Free trial available!,Transform your body. Achieve your fitness goals.,5.0,0.3,10.0
7de54c90f96643208e2e96bbc4e70587,Get Fit in London,Your City. Your Gym.,Affordable gym memberships for young professionals in London. Join today!,Modern gym equipment & classes. Convenient locations across London.,Boost your fitness goals with our supportive community. Free trial available!,2.39,1.36,75.0
f98817631c584f35a320f5180f6e05df,Get Fit in Toronto!,Transform Your Body Today,State-of-the-art gym. Personal training available. Join now!,Achieve your fitness goals with our expert trainers. Free trial!,Affordable gym memberships. Group classes & personal training.,5.0,0.3,10.0
f932903f26aa4691874071a856738e68,Student Gym Deals!,Fit & Affordable Gym,Get in shape! Student discounts available. Join today!,Affordable fitness for students. Modern equipment & classes.,Best student gym in Toronto!  Free trial available.,2.66,1.12,47.5
f2ab83cbda614821b5b8112905bb47e8,Get Fit in Rome!,Your Fitness Journey Starts Here,"Modern gym, expert trainers, affordable memberships. Sign up today!",Achieve your fitness goals with our state-of-the-art equipment.,Transform your body and mind. Join our supportive community!,2.66,1.18,50.0
58b86ba784934d2d86bba0b3b1f20534,Get Fit in LA!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights & cardio. Join today!,Achieve your fitness goals with our expert trainers.  Limited-time offer!,Best gym in LA!  Get a free trial workout. Results guaranteed!,5.0,0.3,10.0
c8a60766875f4b30a2035061313fc106,Get Fit in LA!,Transform Your Body Today,State-of-the-art gym. Personal trainers. Free weights & cardio. Join now!,Achieve your fitness goals with our expert trainers & motivating atmosphere.,Limited-time offer: Free trial!  Get in shape with LA's best gym.,4.29,0.33,10.0
f3d0d55b61924ea990609908581ee0c5,Get Fit in Tokyo!,Tokyo's Best Gym,"State-of-the-art equipment, expert trainers. Join now!",Achieve your fitness goals with our personalized plans.,Free trial available! Transform your body today.,4.29,0.33,10.0
8f24015260174a4cb09a805f810b918f,"Get Fit, LA!",Your LA Fitness Journey Starts Here,Premium gym. Top equipment. Best trainers. Join today!,Transform your body. Achieve your fitness goals. Free trial!,LA's best gym for young professionals. Results guaranteed.,5.14,0.28,10.0
d86d7c167c2a43b69a0dbbeb7bacd7b9,Get Fit in NYC!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights & cardio.,Achieve your fitness goals. Join today! Special offer inside.,"New year, new you. Start your fitness journey now!",5.0,0.3,10.0
c40e1fb6782b4ac8bc6c4382e78e0c47,Get Fit in NYC!,Your Fitness Journey Starts Here,Affordable gym memberships. State-of-the-art equipment. Join today!,Personal trainers available. Group fitness classes. Free trial!,Transform your body. Achieve your fitness goals. Sign up now!,2.62,1.12,47.5
abd5ff27804f4f2a95cc19006a6b13c4,Get Fit in Tokyo!,Your Tokyo Fitness Journey Starts Here,"Modern gym, expert trainers, convenient location.  Sign up today!",Achieve your fitness goals with our personalized programs. Free trial!,State-of-the-art equipment & classes.  Boost your health & well-being.,4.29,0.33,10.0
060fcbc424924a1b8b68398f37aed7e6,"Fitter, Stronger Students!",Student Gym Deals in Munich,Affordable gym memberships for students in Munich. Get fit!,Top gym equipment & classes. Student discounts available!,Train with friends!  Best student gym in Munich.,5.0,0.3,10.0
92f0b731d4f44df2a91996f6b820b84e,"Get Fit, UCLA!",Student Gym Deals!,"Affordable gym memberships for students near USC & UCLA. Free weights, cardio, & more!",Best student gym in LA! Get in shape for less. Sign up today!,Workout anytime. Convenient locations near all major LA colleges. Limited time offer!,5.0,0.3,10.0
b6f826dc845542b489bd2d135c736355,"Get Fit, NYC!",Your New Workout Routine,"Modern gym, top equipment, amazing classes. Join today!","Affordable memberships, convenient location. Try us!",Transform your body & mind. Free trial available!,5.0,0.3,10.0
e5b672b4499747b79e357532ad0b7a6d,"Get Fit, LA!",Your LA Fitness Journey Starts Here,"Modern gym, top equipment, personal training.  Free trial!",Achieve your fitness goals with our expert trainers.  Sign up today!,Best gym in LA for young professionals.  Results guaranteed.,4.29,0.33,10.0
789ec64f3a334f1ea8663d1a312d5fde,Get Fit in Paris!,Your Parisian Fitness Journey Starts Here,"Modern gym, top equipment, expert trainers.  Free trial!",Affordable fitness for young professionals in Paris. Sign up today!,"Achieve your fitness goals in a stylish, motivating environment.",4.29,0.33,10.0
594f710934df46a19ae3468015216813,Get Fit in LA!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights & cardio.,Achieve your fitness goals. Join today!  Limited-time offer.,Affordable gym memberships.  Results guaranteed.,5.0,0.3,10.0
08a2d6a81dbd416682b005b2327de90d,Student Gym Deals!,Affordable Fitness Sydney,Get in shape! Student discounts available. Join today!,Affordable gym memberships for students. Near campus locations.,Best student gym in Sydney! Free trial available.,1.92,1.67,75.0
b7117e30f12f43368bc6c5a3a6ba528f,Get Fit in London!,Transform Your Body Today,State-of-the-art gym. Personal trainers. Free weights & cardio. Join now!,Achieve your fitness goals with our expert guidance and supportive community.,Affordable monthly memberships. Flexible options available. Get started today!,5.0,0.3,10.0
5644765f0dad4aee8c09f3b1fa5232a3,Get Fit in Rome!,Your Fitness Journey Starts Here,"Modern gym, expert trainers. Free trial available!",Achieve your fitness goals with our personalized plans.,State-of-the-art equipment & motivating atmosphere.,5.0,0.3,10.0
9f629a9ba8f94c9a96827b60c7aa0d96,Get in Shape in Paris!,Your Fitness Journey Starts Here,Modern gym with top equipment. Personal trainers available. Free trial!,Achieve your fitness goals with our expert coaches. Sign up today!,State-of-the-art facilities. Group classes & personalized plans. Join us!,5.14,0.28,10.0
4927614d8b7343e783d32ad1bde34a71,Student Gym Deals!,Fit & Affordable Fitness,Get in shape this semester! Low student rates & flexible memberships. Join today!,Affordable gym near campus. Top-notch equipment & supportive community. Sign up now!,Student discounts available! State-of-the-art gym with free weights & cardio.,5.14,0.28,9.09
ddd666cd68f0441aa30be541dc49c434,Get Fit in NYC!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights. Cardio. Sign up today!,Achieve your fitness goals. New member specials available. Join now!,Best gym in NYC!  Amazing facilities & results. Limited time offer!,4.29,0.33,10.0
6ba974e909d7465391bdd8b290050eac,Student Gym Deals!,Fit & Affordable Gym,Get in shape! Student discounts available. Join now!,Affordable gym membership for students in Sydney.,Best student gym in Sydney - Free trial!,1.92,1.93,87.0
04f0e0d3a5364bee903c0a58134736ad,Get Fit in NYC!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights. Cardio equipment. Join today!,Reach your fitness goals with our expert trainers and motivating atmosphere.,"Affordable memberships, convenient location. Start your fitness journey now!",5.0,0.3,10.0
29ff321f1e1b4c9aa562de1affdf8a8b,"Fitter, Stronger, You!",Munich's Best Gym - Join Now!,"Modern gym, top equipment, flexible memberships. Get your free trial today!","Personal trainers, group classes, and a supportive community. Achieve your fitness goals!",Located in the heart of Munich.  Affordable memberships & amazing results!,5.0,0.3,10.0
20cd7e502c1749a3b5510b033a9d9186,Gym near Sorbonne!,Student Gym Deals!,Affordable fitness for students in Paris. Get your free trial!,Student discounts available! Best gym equipment in Paris.,Perfect workout space for students! Join now and get fit!,1.92,1.73,78.0
7076bf43a6314ef7802a619fa4ca3628,Get Fit in London!,Your Fitness Journey Starts Here,"Best gym in London! Personal trainers, top equipment. Join now!",Affordable fitness classes & gym membership. Transform your body!,Achieve your fitness goals with our expert trainers and supportive community.,1.92,1.93,87.0
b0c844f08db640d8827215ed4e1ce5d0,Fitter Student Life!,Student Gym Deals!,Affordable gym memberships for students in Berlin. Join today!,Get in shape with our student discounts. Top gym equipment!,Berlin's best student gym! Free trial available.,2.66,1.18,50.0
352c311aa8ff4132a3517c51a67e6e91,Top Gym in Berlin!,Get Fit in Berlin!,"State-of-the-art equipment, expert trainers. Free trial!",Achieve your fitness goals with us. Join today!,"Personal training, group classes, and more. Sign up now!",4.29,0.33,10.0
b0b9f469982849d09078050d314fab2f,Fit & Strong: Student Rates!,Gym in Paris: Student Discounts,"Affordable gym memberships for students in Paris. Top equipment, great classes!",Get fit this semester! Student discounts available at our Paris gym. Sign up now!,"Paris student gym: Modern facilities, flexible plans. Train with friends!",5.14,0.28,9.09
8b46b161e44a4979a22f18a0dbd41fb7,Fitter Student Life!,Gym Deals for Students,Affordable gym memberships for students in Munich. Get fit and strong!,Top gym equipment & student discounts. Sign up today!,Train with friends. Student-friendly atmosphere. Join now!,5.14,0.28,9.09
b62ed9a0d7e249d08b1efb86c9ca0695,Get Fit in Sydney!,Transform Your Body!,State-of-the-art gym. Personal trainers. Free trial!,Achieve your fitness goals. Join today!,Sydney's best gym.  Results guaranteed!,5.0,0.3,10.0
99cec0e056fd47bba63bb8c162996a3c,Get Fit in Tokyo!,Your Fitness Journey Starts Here,"Modern gym, top equipment, personal trainers. Free trial!",Achieve your fitness goals with our expert guidance. Sign up now!,"Convenient location, flexible memberships.  Transform your body.",4.29,0.33,10.0
f65f246206df4441a1b9e4cac5a0e67e,Get in Shape in Paris!,Your Fitness Journey Starts Here,Modern gym with top equipment. Personal trainers available. Join now!,Achieve your fitness goals with our expert guidance and motivating atmosphere.,Free trial!  State-of-the-art facilities & classes. Transform your body today.,4.29,0.33,10.0
388e2de8a1e44b23883ec6b47c6e6b53,Student Gym Deals!,"Get Fit, Save Money!",Affordable gym membership for students in London. Free trial available!,Best student gym in London! Top equipment & classes included.,Student discounts on gym memberships & personal training. Join now!,5.14,0.28,10.0
d285a9a92f7c4b2d8baf9fe3e0d06ce6,Get Fit in Tokyo!,Tokyo's Best Fitness Gym,"State-of-the-art equipment, expert trainers. Join today!",Achieve your fitness goals with our personalized plans.,Free trial available!  Transform your body and mind.,5.0,0.3,10.0
3204e922519f43b48f8bf6cb9528786f,Get Fit in Rome!,Your Fitness Journey Starts Here,"Best gym in Rome! Modern equipment, expert trainers. Sign up today!",Affordable fitness. Achieve your goals with our personalized plans.,New gym opening soon! Join our community and get fit.,1.96,1.89,85.0
60cf2fe285ea42cdadcead4807067ef6,Fit in Munich!,Your Fitness Journey Starts Here,"Modern gym, top equipment. Free trial!","Personal trainers, group classes. Get fit!",Achieve your fitness goals with us. Join now!,1.96,1.89,85.0
18077cacb1ec48b79b76964922d26061,Get Fit in LA!,Achieve Your Fitness Goals,Affordable gym memberships. Top-notch equipment. Join today!,Personal training available. Free trial classes. Transform your body!,State-of-the-art facilities. Convenient location. Start your journey now!,2.66,0.88,75.0
4a611e7bef4c4acda430fb6ccd774253,Get Fit in Tokyo!,Your Fitness Journey Starts Here,State-of-the-art gym in Tokyo.  Personal trainers available. Free trial!,Achieve your fitness goals with our expert trainers and motivating atmosphere.,"Modern equipment, convenient location, and affordable memberships in Tokyo.",5.0,0.3,10.0
29fc24823fff4104a2dc99e62b1d8291,"Get Fit, London!",Your City. Your Gym.,"Modern gym in Central London. Free weights, cardio & classes. Join today!",Affordable gym memberships for young professionals.  State-of-the-art equipment.,Transform your fitness journey.  Flexible memberships & personal training options.,5.0,0.3,10.0
8f3d8d62cd864391bc7bf11f1a9f6fa5,"Fitter, Faster, Stronger!",Your Munich Fitness Journey Starts Here,Modern gym in Munich.  Free trial available!  Train with us.,Top-notch equipment & expert trainers.  Get your ideal physique.,Affordable fitness memberships for young professionals in Munich.,2.66,1.12,47.5
1580e9e164284c848bfe7fae5533499e,Transform Your Body Today!,LA's Best Fitness Experience,Get fit with our state-of-the-art equipment & expert trainers. Free trial!,Achieve your fitness goals. Personalized plans & supportive community.,Affordable gym memberships.  Sign up now and start your journey!,4.29,0.33,10.0
dfeaa3ddf7e249799b25b6d978b02542,Get Fit in London!,Transform Your Body,"Top-rated gym in London. Personal trainers, state-of-the-art equipment. Free trial!",Achieve your fitness goals with our expert guidance and supportive community.,"Join London's best gym! Weight loss, muscle gain, improved health. Sign up today!",5.0,0.3,10.0
fd6b81cd6d0c4d58939cf38ea8d3114b,Get Fit in London!,Your City. Your Gym.,Modern gym with top equipment.  Free weights & classes. Join today!,Affordable gym membership for London's young professionals. Start your fitness journey!,Convenient location & flexible plans. Get in shape in Central London!,5.0,0.3,10.0
8b2a70b0e50f471b9da70adb575929ee,Fitter Student Life!,Student Gym Deals Berlin,Affordable gym memberships for students in Berlin. Get fit & strong!,Top gym equipment & classes. Student discounts available. Sign up now!,Train with friends! Best student gym in Berlin. Free trial included.,4.29,0.33,10.0
c86e9bdaee384a1f9c5099a530a3a9ca,"Get Fit, LA!",Your LA Fitness Journey Starts Here,"Modern gym, top equipment, expert trainers.  Free trial!",Achieve your fitness goals with our tailored programs. Sign up today!,"Convenient location, affordable rates, results you'll love. Join now!",5.0,0.3,10.0
eaf8e180317149649ae4ee756232c06b,Get Fit This Semester!,Student Gym Deals NYC,"Affordable gym membership for students.  Free weights, cardio, classes!","Student discounts available!  Best gym near NYU, Columbia, etc.",New York's top student gym! Get in shape & save money.,4.29,0.33,10.0
03a471aa6b7a4a96ab19ce7f4132e820,Get Fit in Paris!,Your Fitness Journey Starts Here,"Modern gym, top equipment. Join today!","Affordable fitness, expert trainers. Try us!",Achieve your fitness goals with us in Paris.,3.7,0.88,75.0
873425aafd65480bae3cdd1e03e4a13d,Student Gym Deals!,"Get Fit, London Students!",Affordable gym memberships for students. Free trial available!,Top-rated London gym with student discounts. Join now!,State-of-the-art equipment & student-friendly atmosphere.,4.29,0.33,10.0
dfcc3607997b4857bb812941e0909c07,Get Fit in Toronto!,Achieve Your Fitness Goals,Modern gym with expert trainers. Join today!,Affordable rates & state-of-the-art equipment.,Transform your body & mind. Free trial available!,5.0,0.3,10.0
2b056f1a55d14ff1837ac3c567d07628,"Get Fit, London!",Your London Fitness Journey Starts Here,"Modern gym, top equipment, flexible plans. Join today!","Personal training, group classes, amazing community. Sign up!",Achieve your fitness goals in the heart of London. Free trial!,5.0,0.3,10.0
1abc015c5f4c46a192a5c5ad48be94a6,Get Fit in Paris!,Your Fitness Journey Starts Here,State-of-the-art gym in Paris.  Personal trainers & classes. Join today!,Achieve your fitness goals with our expert guidance. Free trial available!,Transform your body and mind.  Sign up for a free consultation.,5.0,0.3,10.0
ee65ff3ad8404be19bf5266e997f26d4,Transform Your Body in Tokyo,Get Fit. Join Our Gym Today!,"State-of-the-art gym in Tokyo. Personal training, group classes & more! Free trial available.",Achieve your fitness goals with our expert trainers. Modern equipment & convenient location.,"Young professional friendly gym! Build strength, improve health. Sign up now for a special offer.",4.29,0.33,10.0
215036c472ad4d80ab8c7ef79d435c2a,Get Fit in LA!,Transform Your Body Today,State-of-the-art gym. Personal trainers. Free weights & cardio. Sign up now!,Achieve your fitness goals with our expert trainers and motivating atmosphere.,Limited-time offer: Free trial! Join the LA fitness revolution.,4.29,0.33,10.0
3a1e24c91ef343bd9bcd84f797562442,Get Fit in London!,Your Fitness Journey Starts Here,Affordable gym memberships. State-of-the-art equipment. Join today!,Transform your body & mind.  Free trial available. Sign up now!,"Expert trainers, motivating classes. Achieve your fitness goals.",1.92,1.93,87.0
f758d1fe97154ee4a6e2588dd54c6978,"Fitter Students, Better Grades!",Student Gym Deals in Berlin,Affordable gym memberships for students. Top equipment & classes!,Get in shape with our student discounts! Free trial available.,Train near campus! Student-friendly hours & atmosphere.,4.39,0.33,12.5
89992f8f29764f0c9990c08535be0989,Get Fit in LA!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights. Cardio. Join today!,Achieve your fitness goals with our expert guidance and supportive community.,Affordable gym memberships.  Month-to-month options available. Sign up now!,5.0,0.3,10.0
e34102e114ce4038b5cdab8f4f229886,Get Fit in Tokyo!,Tokyo's Best Gym,Modern gym with top equipment.  Free trial available!,Achieve your fitness goals. Personal trainers available.,Affordable fitness in the heart of Tokyo. Join today!,2.62,1.18,50.0
a47dca6e0c93476b9b2bb988c78e2144,Get Fit in Toronto!,Your Fitness Journey Starts Here,State-of-the-art gym. Personal trainers. Free weights & cardio. Join today!,Achieve your fitness goals with our expert trainers & supportive community.,Transform your body & mind.  Affordable memberships & flexible hours.,5.0,0.3,10.0
4b5eeb86223740b7a6c10166039a9460,"Fitter, Faster, Stronger!",Your Munich Fitness Journey Starts Here,Modern gym in Munich. Free trial!  Get fit with us.,"Top equipment, expert trainers.  Sign up today!",Affordable memberships for young professionals. Join now!,1.91,1.93,87.0
b1b765dc891545a18a8d39404746f524,Get Fit in Paris!,Your Parisian Fitness Journey,"Modern gym, top equipment, expert trainers. Free trial!",Achieve your fitness goals with our personalized plans.,Join our vibrant community and transform your body.,5.14,0.28,9.09
985820eb52af4a5788ef48f34a2a9b78,Get Fit in Sydney!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights. Cardio equipment. Join today!,Achieve your fitness goals with our expert trainers and supportive community.,Sydney's best gym!  Affordable memberships & amazing results. Sign up now!,5.14,0.28,10.0
4e56e00a829b47ce8c10989cf630ecbb,"Fitter, Stronger, You!",Munich's Best Gym - Join Now!,"Modern gym, top equipment, personal training. Free trial!","Shape your body, boost your confidence. Affordable memberships.","Get fit, meet your goals.  Classes, personal training, and more!",5.0,0.3,10.0
df8fc04b32f3407fa7518c5eebbda56d,Fitter in Berlin!,Your Fitness Journey Starts Here,Modern Gym. Top Equipment. Affordable Prices. Join today!,Get in shape with our expert trainers. Free trial available!,Achieve your fitness goals. Sign up for a free consultation.,1.92,1.73,78.0
d5b8ee0f6237442689eff7d7c1561bbb,Fitter in Munich!,Student Gym Deals,Affordable gym near TUM! Get in shape with our student discounts.,"Best gym in Munich for students. Top equipment, great atmosphere.",Student memberships starting at €19.99. Sign up today!,5.0,0.3,10.0
52f0d07cf50f4e0cb89f09be26fedd0a,Get Fit in LA!,Your Fitness Journey Starts Here,"Modern gym, top equipment, classes, & personal trainers. Join today!",Achieve your fitness goals with our expert trainers & motivating atmosphere.,Affordable membership plans! Free trial available. Transform your body.,5.0,0.3,10.0
f6e400737cb74e558531c3f47ab26628,Trendy Toronto Haircuts,Style Your Best Hair Yet,Book your appointment today!  Get the latest looks.,Fashionable cuts & colors.  Experts in styling.,Top Toronto salon.  Modern & edgy hairstyles.,5.0,0.3,10.0
8585b7873fa1485c85fa54f4ec3bf61a,Stylish Cuts for Busy Pros,"Professional Hair, Parisian Style","Quick, elegant cuts & color. Book online!","Expert stylists, convenient location. Near metro.",Top-rated salon for professionals. Special offers.,4.29,0.33,10.0
9094bd65ccf345cca94ba4b4b2d7d759,Stylish Haircuts in Tokyo,Tokyo's Best Hair Salon,Book your appointment today!  Affordable prices & expert stylists.,Experience luxury hair care in the heart of Tokyo.  Call now!,"Great cuts, color & styling.  Convenient location in Tokyo.",1.92,1.67,75.0
de663d9d06f9420da0c511eee0e3a5b0,Trendy Haircuts in Toronto,Style Your Best Look Today,"Book your appointment now!  Top stylists, great prices.",Fashion-forward haircuts & color.  See our portfolio!,"Modern salon, downtown Toronto.  Call or book online.",1.91,1.67,75.0
d5a9e9cbc7284e4cbad81cc54ebfc998,Mariage: Coiffure de rêve!,"Votre Jour J, sublimez-vous!",Coiffure mariage Paris. Essayage gratuit. Rendez-vous dès maintenant!,"Chignon, tresses, boucles... Le style parfait pour votre mariage.",Maquilleuse et coiffeuse professionnelles. Offre spéciale mariées.,4.29,0.33,10.0
6f4594f8cb2d4ac9bf3ae70049096002,Bridal Hair Styling NYC,"Wedding Hair, Makeup & More",Gorgeous bridal hairstyles. Book your consultation today!,Expert stylists for your big day. Free consultations available.,Award-winning salon specializing in bridal hair. Call us now!,5.14,0.28,10.0
