industry,region,target_audience,performance_tier,headline_1,headline_2,description_1,description_2,description_3,keywords,simulated_impressions,simulated_clicks,simulated_conversions,simulated_cost,simulated_ctr,simulated_conversion_rate,simulated_cpc,simulated_cpa
Gym,"Los Angeles, USA",Health-conscious Adults,high,Get Fit in LA!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights. Cardio. Sign up today!,Achieve your fitness goals with our expert guidance and supportive community.,Affordable memberships. Results-driven workouts. Start your fitness journey now!,"gym los angeles, fitness center los angeles, personal trainer los angeles, weight loss los angeles, health club los angeles",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Berlin, Germany",Health-conscious Adults,mid,"Fitter, Stronger, You!",Reach Your Fitness Goals,"Personal training, state-of-the-art equipment. Free trial!",Transform your body and mind. Join our community today!,Affordable fitness. Get in shape with our expert trainers.,"fitness studio berlin, gym berlin, personal trainer berlin, weight loss berlin, health club berlin",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"New York, USA",Health-conscious Adults,mid,Get Fit in NYC!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights. Cardio. Join today!,Achieve your fitness goals.  Affordable memberships. Sign up now!,New client special! Get your first month free. Limited time offer.,"gym new york, fitness center nyc, personal trainer manhattan, weight loss gym, health club membership",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"New York, USA",Students,mid,Get Fit This Semester!,Student Gym Deals NYC,Affordable gym memberships for students.  Near NYU & Columbia!,State-of-the-art equipment & student discounts. Join today!,Workout anytime! Flexible student memberships available.,"student gym new york, cheap gym near college, affordable gym nyc students, university gym membership, fitness deals students nyc",10250,450,12,175,4.39,2.67,0.39,14.58
Gym,"Berlin, Germany",Fitness Enthusiasts,mid,Top Gym in Berlin!,"Get Fit, Join Us!","State-of-the-art equipment, expert trainers. Free trial!",Achieve your fitness goals with our personalized plans.,Affordable memberships & flexible hours. Sign up today!,"fitness studio berlin, gym berlin, personal trainer berlin, workout classes berlin, fitness center berlin",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Munich, Germany",Fitness Enthusiasts,low,Top Gym in Munich!,Get Fit in Munich!,"Modern equipment, expert trainers. Join today!",Affordable fitness.  Free trial available!,Achieve your fitness goals with us!,"fitness studio munich, gym munich, personal trainer munich, workout munich, fitness center munich",2345,45,1,78,1.92,2.22,1.73,78.0
Gym,"New York, USA",Students,high,Get Fit This Semester!,Student Gym Deals!,Affordable gym memberships for students in NYC.  State-of-the-art equipment & classes!,Student discounts & flexible plans.  Join the fitness revolution today!,"NYC's best student gym!  Free weights, cardio, & more. Sign up now!","student gym new york, cheap gym near college, fitness deals students, university gym membership, affordable gym nyc students",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Los Angeles, USA",Young Professionals,low,"Get Fit, LA!",Your LA Fitness Journey Starts Here,Affordable gym memberships.  Top equipment. Convenient locations.,Shape your future.  Join our LA community today!,"Free weights, cardio, and classes. Start your workout now!","gym los angeles, fitness los angeles, workout los angeles, personal trainer los angeles, affordable gym los angeles",2300,65,1,85,2.83,1.54,1.31,85.0
Gym,"Tokyo, Japan",Young Professionals,high,Get Fit in Tokyo!,Your Tokyo Fitness Journey Starts Here,"Modern gym, top equipment, personal trainers. Free trial!",Achieve your fitness goals with our expert-led classes and programs.,"Convenient location, flexible membership options. Join today!","ジム 東京, フィットネス 東京, パーソナルトレーナー 東京, トレーニングジム 東京, ワークアウト 東京",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Munich, Germany",Health-conscious Adults,low,Fitter in Munich!,Your Gym Awaits!,Modern gym. Best equipment.  Join today!,Affordable fitness. Get in shape now!,Personal training available.  Start your journey!,"fitness studio munich, gym munich, personal trainer munich, health club munich, workout munich",2350,45,1,75,1.91,2.22,1.67,75.0
Gym,"Berlin, Germany",Health-conscious Adults,high,Top Gym in Berlin!,Get Fit in Berlin,"State-of-the-art equipment, expert trainers. Free trial!",Achieve your fitness goals. Join today!,"Personal training, group classes, & more. Sign up now!","fitness studio berlin, gym berlin, personal trainer berlin, workout berlin, health club berlin",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Rome, Italy",Health-conscious Adults,low,Get Fit in Rome!,Your Fitness Journey Starts Here,"Modern gym, top equipment, personal trainers. Sign up today!",Achieve your fitness goals with our expert guidance. Free trial!,Affordable gym membership in Rome. Get in shape now!,"palestra roma, fitness roma, gym roma, allenamento roma, personal trainer roma",2345,45,1,75,1.92,2.22,1.67,75.0
Gym,"New York, USA",Fitness Enthusiasts,mid,Get Fit in NYC!,Your Fitness Journey Starts Here,State-of-the-art gym. Personal trainers. Free weights. Group classes. Join today!,Achieve your fitness goals with our expert trainers and supportive community.,Transform your body and mind. Free trial available. Sign up now!,"gym new york, fitness classes nyc, personal trainer new york, weight loss gym, crossfit gym nyc",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Toronto, Canada",Young Professionals,high,Get Fit in Downtown Toronto,Your Fitness Journey Starts Here,"Modern gym, expert trainers, free weights, classes.  Sign up today!",Achieve your fitness goals with our state-of-the-art equipment.,Affordable memberships for young professionals.  Limited-time offer!,"gym toronto, fitness toronto, young professional gym, downtown toronto gym, personal trainer toronto",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Los Angeles, USA",Young Professionals,mid,"Get Fit, LA!",Your LA Fitness Journey Starts Here,"Modern gym, top equipment, personal training. Join today!","Affordable rates, convenient location.  Transform your body!",Free trial available!  Achieve your fitness goals with us.,"gym los angeles, fitness center downtown la, personal trainer young professionals, affordable gym membership la, best gym near me",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"London, UK",Students,low,Student Gym Deals!,Affordable Fitness for Students,Get in shape this semester! Low monthly fees for students in London.,Student discounts on gym memberships. Top-notch equipment & classes.,Find your fitness routine. Best student gym in London. Join now!,"student gym london, cheap gym london students, university gym membership, affordable fitness london, student discount gym",3200,85,2,100,2.66,2.35,1.18,50.0
Gym,"Sydney, Australia",Young Professionals,low,"Get Fit, Sydney!",Your Fitness Journey Starts Here,Affordable gym memberships for young professionals in Sydney. Try us!,Modern gym equipment & classes. Achieve your fitness goals today!,Convenient locations across Sydney CBD. Sign up now for a free trial!,"gym sydney, fitness sydney, gym membership sydney, affordable gym sydney, best gym sydney cbd",2345,87,1,95,3.71,1.15,1.09,95.0
Gym,"London, UK",Fitness Enthusiasts,mid,Get Fit in London!,Your Fitness Journey Starts Here,State-of-the-art gym. Personal trainers. Free weights. Join today!,Affordable gym memberships. Excellent equipment. Transform your body.,"London's best gym! Classes, personal training, and more. Sign up now!","gym london, fitness london, personal trainer london, gym membership london, fitness classes london",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Los Angeles, USA",Young Professionals,low,Get Fit in LA!,Your Fitness Journey Starts Here,Affordable gym memberships for young professionals. Join today!,State-of-the-art equipment & expert trainers. Free trial available!,Transform your body & mind.  Convenient location in Downtown LA.,"gym los angeles, fitness los angeles young professionals, affordable gym downtown la, best gym near me, workout classes los angeles",2350,45,1,75,1.91,2.22,1.67,75.0
Gym,"Paris, France",Health-conscious Adults,low,Get in Shape in Paris!,Fitness Goals? We Can Help!,"Modern gym, top equipment, personal training. Join today!",Affordable fitness for all levels. Free trial available!,Achieve your fitness goals with our expert trainers.,"gym paris, fitness paris, personal training paris, health club paris, weight loss paris",2345,56,1,87,2.39,1.79,1.55,87.0
Gym,"Berlin, Germany",Fitness Enthusiasts,mid,Top Gym in Berlin!,Get Fit in Berlin!,"State-of-the-art equipment, expert trainers. Join today!",Affordable fitness memberships. Free trial available!,Transform your body. Achieve your fitness goals.,"fitness studio berlin, gym berlin, personal trainer berlin, workout berlin, fitness classes berlin",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"London, UK",Young Professionals,low,Get Fit in London,Your City. Your Gym.,Affordable gym memberships for young professionals in London. Join today!,Modern gym equipment & classes. Convenient locations across London.,Boost your fitness goals with our supportive community. Free trial available!,"gym london, fitness london, gym membership london, cheap gym london, young professionals gym london",2300,55,1,75,2.39,1.82,1.36,75.0
Gym,"Toronto, Canada",Health-conscious Adults,mid,Get Fit in Toronto!,Transform Your Body Today,State-of-the-art gym. Personal training available. Join now!,Achieve your fitness goals with our expert trainers. Free trial!,Affordable gym memberships. Group classes & personal training.,"gym toronto, fitness toronto, personal trainer toronto, weight loss toronto, health club toronto",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Toronto, Canada",Students,low,Student Gym Deals!,Fit & Affordable Gym,Get in shape! Student discounts available. Join today!,Affordable fitness for students. Modern equipment & classes.,Best student gym in Toronto!  Free trial available.,"student gym toronto, cheap gym toronto, university gym near me, affordable fitness toronto, student discounts gym",3200,85,2,95,2.66,2.35,1.12,47.5
Gym,"Rome, Italy",Health-conscious Adults,low,Get Fit in Rome!,Your Fitness Journey Starts Here,"Modern gym, expert trainers, affordable memberships. Sign up today!",Achieve your fitness goals with our state-of-the-art equipment.,Transform your body and mind. Join our supportive community!,"palestra roma, fitness roma, gym roma, allenamento roma, personal trainer roma",3200,85,2,100,2.66,2.35,1.18,50.0
Gym,"Los Angeles, USA",Fitness Enthusiasts,mid,Get Fit in LA!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights & cardio. Join today!,Achieve your fitness goals with our expert trainers.  Limited-time offer!,Best gym in LA!  Get a free trial workout. Results guaranteed!,"gym los angeles, fitness los angeles, personal trainer los angeles, weight loss los angeles, workout classes los angeles",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Los Angeles, USA",Fitness Enthusiasts,high,Get Fit in LA!,Transform Your Body Today,State-of-the-art gym. Personal trainers. Free weights & cardio. Join now!,Achieve your fitness goals with our expert trainers & motivating atmosphere.,Limited-time offer: Free trial!  Get in shape with LA's best gym.,"gym los angeles, fitness center los angeles, personal trainer los angeles, weight loss los angeles, best gym near me",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Tokyo, Japan",Fitness Enthusiasts,high,Get Fit in Tokyo!,Tokyo's Best Gym,"State-of-the-art equipment, expert trainers. Join now!",Achieve your fitness goals with our personalized plans.,Free trial available! Transform your body today.,"ジム 東京, フィットネス 東京, パーソナルトレーニング 東京, トレーニングジム 東京, ダイエット 東京",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Los Angeles, USA",Young Professionals,high,"Get Fit, LA!",Your LA Fitness Journey Starts Here,Premium gym. Top equipment. Best trainers. Join today!,Transform your body. Achieve your fitness goals. Free trial!,LA's best gym for young professionals. Results guaranteed.,"gym los angeles, fitness center downtown la, personal training young professionals, best gym near me, affordable gym la",35000,1800,50,500,5.14,2.78,0.28,10.0
Gym,"New York, USA",Health-conscious Adults,mid,Get Fit in NYC!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights & cardio.,Achieve your fitness goals. Join today! Special offer inside.,"New year, new you. Start your fitness journey now!","gym new york, fitness center nyc, personal trainer manhattan, weight loss programs nyc, health club brooklyn",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"New York, USA",Fitness Enthusiasts,low,Get Fit in NYC!,Your Fitness Journey Starts Here,Affordable gym memberships. State-of-the-art equipment. Join today!,Personal trainers available. Group fitness classes. Free trial!,Transform your body. Achieve your fitness goals. Sign up now!,"gym new york, fitness center nyc, personal trainer manhattan, group fitness classes, affordable gym membership",3250,85,2,95,2.62,2.35,1.12,47.5
Gym,"Tokyo, Japan",Young Professionals,high,Get Fit in Tokyo!,Your Tokyo Fitness Journey Starts Here,"Modern gym, expert trainers, convenient location.  Sign up today!",Achieve your fitness goals with our personalized programs. Free trial!,State-of-the-art equipment & classes.  Boost your health & well-being.,"gym tokyo, fitness tokyo, personal trainer tokyo, yoga studio tokyo, workout classes tokyo",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Munich, Germany",Students,mid,"Fitter, Stronger Students!",Student Gym Deals in Munich,Affordable gym memberships for students in Munich. Get fit!,Top gym equipment & classes. Student discounts available!,Train with friends!  Best student gym in Munich.,"student gym munich, cheap gym munich students, fitness student munich, university gym munich, student discounts gym munich",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Los Angeles, USA",Students,mid,"Get Fit, UCLA!",Student Gym Deals!,"Affordable gym memberships for students near USC & UCLA. Free weights, cardio, & more!",Best student gym in LA! Get in shape for less. Sign up today!,Workout anytime. Convenient locations near all major LA colleges. Limited time offer!,"student gym los angeles, cheap gym near college, university gym membership, fitness deals for students, affordable gym los angeles",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"New York, USA",Young Professionals,mid,"Get Fit, NYC!",Your New Workout Routine,"Modern gym, top equipment, amazing classes. Join today!","Affordable memberships, convenient location. Try us!",Transform your body & mind. Free trial available!,"gym new york, fitness center manhattan, yoga classes nyc, personal training brooklyn, affordable gym membership",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Los Angeles, USA",Young Professionals,high,"Get Fit, LA!",Your LA Fitness Journey Starts Here,"Modern gym, top equipment, personal training.  Free trial!",Achieve your fitness goals with our expert trainers.  Sign up today!,Best gym in LA for young professionals.  Results guaranteed.,"gym los angeles, fitness los angeles, personal trainer los angeles, young professional gym, fitness center downtown la",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Paris, France",Young Professionals,high,Get Fit in Paris!,Your Parisian Fitness Journey Starts Here,"Modern gym, top equipment, expert trainers.  Free trial!",Affordable fitness for young professionals in Paris. Sign up today!,"Achieve your fitness goals in a stylish, motivating environment.","gym paris, fitness paris, personal trainer paris, young professionals gym paris, affordable gym paris",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Los Angeles, USA",Health-conscious Adults,mid,Get Fit in LA!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights & cardio.,Achieve your fitness goals. Join today!  Limited-time offer.,Affordable gym memberships.  Results guaranteed.,"gym los angeles, fitness center los angeles, personal trainer los angeles, weight loss los angeles, health club los angeles",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Sydney, Australia",Students,low,Student Gym Deals!,Affordable Fitness Sydney,Get in shape! Student discounts available. Join today!,Affordable gym memberships for students. Near campus locations.,Best student gym in Sydney! Free trial available.,"student gym sydney, cheap gym sydney, university gym, fitness student discount, affordable gym near uni",2345,45,1,75,1.92,2.22,1.67,75.0
Gym,"London, UK",Health-conscious Adults,mid,Get Fit in London!,Transform Your Body Today,State-of-the-art gym. Personal trainers. Free weights & cardio. Join now!,Achieve your fitness goals with our expert guidance and supportive community.,Affordable monthly memberships. Flexible options available. Get started today!,"gym london, fitness london, personal trainer london, weight loss london, health club london",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Rome, Italy",Young Professionals,mid,Get Fit in Rome!,Your Fitness Journey Starts Here,"Modern gym, expert trainers. Free trial available!",Achieve your fitness goals with our personalized plans.,State-of-the-art equipment & motivating atmosphere.,"palestra roma, fitness roma giovani, personal trainer roma, gym vicino a me roma, allenamento funzionale roma",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Paris, France",Health-conscious Adults,high,Get in Shape in Paris!,Your Fitness Journey Starts Here,Modern gym with top equipment. Personal trainers available. Free trial!,Achieve your fitness goals with our expert coaches. Sign up today!,State-of-the-art facilities. Group classes & personalized plans. Join us!,"gym paris, fitness paris, personal trainer paris, group fitness classes paris, health club paris",35000,1800,50,500,5.14,2.78,0.28,10.0
Gym,"Toronto, Canada",Students,high,Student Gym Deals!,Fit & Affordable Fitness,Get in shape this semester! Low student rates & flexible memberships. Join today!,Affordable gym near campus. Top-notch equipment & supportive community. Sign up now!,Student discounts available! State-of-the-art gym with free weights & cardio.,"student gym toronto, cheap gym near university, fitness deals students, affordable gym toronto, university gym membership",35000,1800,55,500,5.14,3.06,0.28,9.09
Gym,"New York, USA",Health-conscious Adults,high,Get Fit in NYC!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights. Cardio. Sign up today!,Achieve your fitness goals. New member specials available. Join now!,Best gym in NYC!  Amazing facilities & results. Limited time offer!,"gym new york, fitness center nyc, personal trainer nyc, weight loss gym, health club manhattan",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Sydney, Australia",Students,low,Student Gym Deals!,Fit & Affordable Gym,Get in shape! Student discounts available. Join now!,Affordable gym membership for students in Sydney.,Best student gym in Sydney - Free trial!,"student gym sydney, cheap gym sydney students, university gym near me, affordable fitness sydney, student fitness deals",2345,45,1,87,1.92,2.22,1.93,87.0
Gym,"New York, USA",Fitness Enthusiasts,mid,Get Fit in NYC!,Transform Your Body,State-of-the-art gym. Personal trainers. Free weights. Cardio equipment. Join today!,Reach your fitness goals with our expert trainers and motivating atmosphere.,"Affordable memberships, convenient location. Start your fitness journey now!","gym new york, fitness center nyc, personal trainer manhattan, weight loss gym, workout classes nyc",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Munich, Germany",Young Professionals,mid,"Fitter, Stronger, You!",Munich's Best Gym - Join Now!,"Modern gym, top equipment, flexible memberships. Get your free trial today!","Personal trainers, group classes, and a supportive community. Achieve your fitness goals!",Located in the heart of Munich.  Affordable memberships & amazing results!,"fitness studio munich, gym near me munich, personal trainer munich, group fitness classes munich, young professionals gym munich",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Paris, France",Students,low,Gym near Sorbonne!,Student Gym Deals!,Affordable fitness for students in Paris. Get your free trial!,Student discounts available! Best gym equipment in Paris.,Perfect workout space for students! Join now and get fit!,"student gym paris, cheap gym paris, fitness student paris, sorbonne gym, paris student fitness",2345,45,1,78,1.92,2.22,1.73,78.0
Gym,"London, UK",Fitness Enthusiasts,low,Get Fit in London!,Your Fitness Journey Starts Here,"Best gym in London! Personal trainers, top equipment. Join now!",Affordable fitness classes & gym membership. Transform your body!,Achieve your fitness goals with our expert trainers and supportive community.,"gym london, fitness classes london, personal trainer london, weight loss gym london, best gym near me",2345,45,1,87,1.92,2.22,1.93,87.0
Gym,"Berlin, Germany",Students,low,Fitter Student Life!,Student Gym Deals!,Affordable gym memberships for students in Berlin. Join today!,Get in shape with our student discounts. Top gym equipment!,Berlin's best student gym! Free trial available.,"student gym berlin, cheap gym berlin students, fitness student berlin, university gym berlin, student discounts gym berlin",3200,85,2,100,2.66,2.35,1.18,50.0
Gym,"Berlin, Germany",Fitness Enthusiasts,high,Top Gym in Berlin!,Get Fit in Berlin!,"State-of-the-art equipment, expert trainers. Free trial!",Achieve your fitness goals with us. Join today!,"Personal training, group classes, and more. Sign up now!","fitness studio berlin, gym berlin, personal trainer berlin, group fitness classes berlin, best gym berlin",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Paris, France",Students,high,Fit & Strong: Student Rates!,Gym in Paris: Student Discounts,"Affordable gym memberships for students in Paris. Top equipment, great classes!",Get fit this semester! Student discounts available at our Paris gym. Sign up now!,"Paris student gym: Modern facilities, flexible plans. Train with friends!","student gym paris, gym near university paris, affordable gym paris students, fitness student discount paris, best gym for students paris",35000,1800,55,500,5.14,3.06,0.28,9.09
Gym,"Munich, Germany",Students,high,Fitter Student Life!,Gym Deals for Students,Affordable gym memberships for students in Munich. Get fit and strong!,Top gym equipment & student discounts. Sign up today!,Train with friends. Student-friendly atmosphere. Join now!,"student gym munich, cheap gym munich students, university gym munich, fitness student deals munich, munich student fitness",35000,1800,55,500,5.14,3.06,0.28,9.09
Gym,"Sydney, Australia",Fitness Enthusiasts,mid,Get Fit in Sydney!,Transform Your Body!,State-of-the-art gym. Personal trainers. Free trial!,Achieve your fitness goals. Join today!,Sydney's best gym.  Results guaranteed!,"gym sydney, fitness sydney, personal trainer sydney, weight loss sydney, gym membership sydney",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Tokyo, Japan",Young Professionals,high,Get Fit in Tokyo!,Your Fitness Journey Starts Here,"Modern gym, top equipment, personal trainers. Free trial!",Achieve your fitness goals with our expert guidance. Sign up now!,"Convenient location, flexible memberships.  Transform your body.","ジム 東京, フィットネス 東京, パーソナルトレーナー 東京, トレーニングジム 東京, フィットネスクラブ 東京",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"Paris, France",Health-conscious Adults,high,Get in Shape in Paris!,Your Fitness Journey Starts Here,Modern gym with top equipment. Personal trainers available. Join now!,Achieve your fitness goals with our expert guidance and motivating atmosphere.,Free trial!  State-of-the-art facilities & classes. Transform your body today.,"gym paris, fitness center paris, personal trainer paris, weight loss paris, fitness classes paris",35000,1500,50,500,4.29,3.33,0.33,10.0
Gym,"London, UK",Students,high,Student Gym Deals!,"Get Fit, Save Money!",Affordable gym membership for students in London. Free trial available!,Best student gym in London! Top equipment & classes included.,Student discounts on gym memberships & personal training. Join now!,"student gym london, cheap gym london students, university gym membership, fitness london students, student fitness deals",35000,1800,50,500,5.14,2.78,0.28,10.0
Gym,"Tokyo, Japan",Fitness Enthusiasts,mid,Get Fit in Tokyo!,Tokyo's Best Fitness Gym,"State-of-the-art equipment, expert trainers. Join today!",Achieve your fitness goals with our personalized plans.,Free trial available!  Transform your body and mind.,"ジム 東京, フィットネス 東京, パーソナルトレーニング 東京, トレーニングジム 東京, ダイエット 東京",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Rome, Italy",Fitness Enthusiasts,low,Get Fit in Rome!,Your Fitness Journey Starts Here,"Best gym in Rome! Modern equipment, expert trainers. Sign up today!",Affordable fitness. Achieve your goals with our personalized plans.,New gym opening soon! Join our community and get fit.,"palestra roma, fitness roma, gym roma centro, personal trainer roma, allenamento funzionale roma",2300,45,1,85,1.96,2.22,1.89,85.0
Gym,"Munich, Germany",Fitness Enthusiasts,low,Fit in Munich!,Your Fitness Journey Starts Here,"Modern gym, top equipment. Free trial!","Personal trainers, group classes. Get fit!",Achieve your fitness goals with us. Join now!,"fitness studio munich, gym munich, personal trainer munich, fitness classes munich, workout munich",2300,45,1,85,1.96,2.22,1.89,85.0
Gym,"Los Angeles, USA",Health-conscious Adults,low,Get Fit in LA!,Achieve Your Fitness Goals,Affordable gym memberships. Top-notch equipment. Join today!,Personal training available. Free trial classes. Transform your body!,State-of-the-art facilities. Convenient location. Start your journey now!,"gym los angeles, fitness los angeles, health club los angeles, personal trainer los angeles, weight loss los angeles",3200,85,1,75,2.66,1.18,0.88,75.0
Gym,"Tokyo, Japan",Health-conscious Adults,mid,Get Fit in Tokyo!,Your Fitness Journey Starts Here,State-of-the-art gym in Tokyo.  Personal trainers available. Free trial!,Achieve your fitness goals with our expert trainers and motivating atmosphere.,"Modern equipment, convenient location, and affordable memberships in Tokyo.","ジム 東京, フィットネス 東京, トレーニング 東京, パーソナルトレーニング 東京, 健康 東京",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"London, UK",Young Professionals,mid,"Get Fit, London!",Your City. Your Gym.,"Modern gym in Central London. Free weights, cardio & classes. Join today!",Affordable gym memberships for young professionals.  State-of-the-art equipment.,Transform your fitness journey.  Flexible memberships & personal training options.,"gym london, fitness london, best gym london, affordable gym london, gym membership london",10000,500,15,150,5.0,3.0,0.3,10.0
Gym,"Munich, Germany",Young Professionals,low,"Fitter, Faster, Stronger!",Your Munich Fitness Journey Starts Here,Modern gym in Munich.  Free trial available!  Train with us.,Top-notch equipment & expert trainers.  Get your ideal physique.,Affordable fitness memberships for young professionals in Munich.,"fitness studio munich, gym near me munich, young professional gym munich, affordable gym munich, best gym munich city center",3200,85,2,95,2.66,2.35,1.12,47.5
